x,y,landsat_b0,landsat_b1,landsat_b2,landsat_b3,landsat_b4,landsat_b5,landsat_b6,landsat_b7,landsat_b8,landsat_b9,ndvi,ndwi,ntl,hrsl,road_dist_m,no_class,closed_forest,open_forest,shrubs,hb_veg,hb_waste,moss,bare,cropland,urban,snow,water,sea,building_area_sn,building_area_ss3_1,building_area_ss2_1,landsat_b0_context_3x3,landsat_b1_context_3x3,landsat_b2_context_3x3,landsat_b3_context_3x3,landsat_b4_context_3x3,landsat_b5_context_3x3,landsat_b6_context_3x3,landsat_b7_context_3x3,landsat_b8_context_3x3,landsat_b9_context_3x3,ndvi_context_3x3,ndwi_context_3x3,ntl_context_3x3,hrsl_context_3x3,road_dist_m_context_3x3,no_class_context_3x3,closed_forest_context_3x3,open_forest_context_3x3,shrubs_context_3x3,hb_veg_context_3x3,hb_waste_context_3x3,moss_context_3x3,bare_context_3x3,cropland_context_3x3,urban_context_3x3,snow_context_3x3,water_context_3x3,sea_context_3x3,building_area_sn_context_3x3,building_area_ss3_1_context_3x3,building_area_ss2_1_context_3x3,landsat_b0_context_5x5,landsat_b1_context_5x5,landsat_b2_context_5x5,landsat_b3_context_5x5,landsat_b4_context_5x5,landsat_b5_context_5x5,landsat_b6_context_5x5,landsat_b7_context_5x5,landsat_b8_context_5x5,landsat_b9_context_5x5,ndvi_context_5x5,ndwi_context_5x5,ntl_context_5x5,hrsl_context_5x5,road_dist_m_context_5x5,no_class_context_5x5,closed_forest_context_5x5,open_forest_context_5x5,shrubs_context_5x5,hb_veg_context_5x5,hb_waste_context_5x5,moss_context_5x5,bare_context_5x5,cropland_context_5x5,urban_context_5x5,snow_context_5x5,water_context_5x5,sea_context_5x5,building_area_sn_context_5x5,building_area_ss3_1_context_5x5,building_area_ss2_1_context_5x5,pop,fold
98,26,11309.900390625,10681.75,10475.349609375,11162.7998046875,17081.5,20310.5,17491.650390625,10677.099609375,5054.5,32068.75,0.2095537930727005,-0.08635537326335907,0.6299999952316284,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,346.0,334.0,367.5,11325.1357421875,10708.232421875,10540.64453125,11202.966796875,17560.55078125,19940.740234375,16822.482421875,10717.623046875,5053.884765625,32010.52734375,0.22100883722305298,-0.06343482434749603,0.6549999713897705,0.4444444444444444,33.33333206176758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,451.9444580078125,238.77777099609375,289.8055419921875,11332.880859375,10719.048828125,10546.759765625,11194.0234375,17546.5078125,19709.279296875,16497.515625,10701.869140625,5053.2646484375,31973.53515625,0.2211528718471527,-0.05781407281756401,0.675000011920929,0.32,67.57168579101562,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,519.4500122070312,186.1199951171875,225.0500030517578,5.0,0
99,26,11158.099609375,10478.150390625,10232.4501953125,10610.0498046875,17874.849609375,18821.849609375,15488.9501953125,10310.900390625,5053.10009765625,31894.25,0.25504040718078613,-0.025806136429309845,0.6949999928474426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1211.5,307.5,478.0,11340.0244140625,10727.26953125,10573.251953125,11235.609375,17782.15234375,19966.375,16757.5078125,10784.23828125,5055.41796875,31987.49609375,0.22574850916862488,-0.05759716033935547,0.6983333826065063,0.3333333333333333,33.33333206176758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,399.0833435058594,182.47222900390625,231.22222900390625,11354.78515625,10748.4091796875,10590.9287109375,11268.11328125,17650.02734375,19847.337890625,16654.69921875,10766.5302734375,5054.34521484375,32006.9609375,0.22096611559391022,-0.058143679052591324,0.7009999752044678,0.44,44.97056579589844,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.0,0.0,0.0,467.94000244140625,207.64999389648438,260.8599853515625,11.0,0
102,26,11429.2001953125,10844.599609375,10703.349609375,11405.5498046875,17689.25,20303.19921875,17216.900390625,10839.5498046875,5054.2001953125,32195.19921875,0.21597330272197723,-0.06880180537700653,0.7599999904632568,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,273.75,270.25,358.0,11404.90234375,10815.1962890625,10670.9013671875,11397.5888671875,17798.26171875,19996.4765625,16821.087890625,10874.51953125,5053.65771484375,32104.548828125,0.21931925415992737,-0.057943448424339294,0.7641666531562805,0.5555555555555556,11.11111068725586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,604.111083984375,230.36111450195312,303.27777099609375,11356.8134765625,10748.6015625,10590.0302734375,11262.2412109375,17706.576171875,19723.28125,16492.298828125,10783.9248046875,5054.9189453125,32050.974609375,0.22266405820846558,-0.053486622869968414,0.7662999629974365,0.64,16.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,605.1699829101562,264.4100036621094,355.6700134277344,1.0,0
104,26,11276.7001953125,10623.25,10380.599609375,10876.849609375,17390.150390625,19375.0,16111.349609375,10517.2001953125,5054.25,32031.55078125,0.23042066395282745,-0.05398726090788841,0.7699999809265137,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1437.75,459.25,569.0,11323.1953125,10702.1455078125,10537.810546875,11198.97265625,17745.853515625,19716.6875,16427.75390625,10722.2607421875,5055.3466796875,32035.294921875,0.2262428104877472,-0.05244268849492073,0.7674999833106995,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,839.2222290039062,300.47222900390625,399.9166564941406,11328.4423828125,10714.91796875,10556.6328125,11236.0400390625,17640.4921875,19759.80859375,16486.388671875,10756.365234375,5055.9423828125,32061.0234375,0.22183099389076233,-0.05651593580842018,0.766700029373169,0.84,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,607.6799926757812,312.17999267578125,415.29998779296875,9.0,0
105,26,11285.349609375,10652.900390625,10455.599609375,11163.400390625,17461.19921875,19940.19921875,16685.900390625,10647.5498046875,5058.2001953125,32061.19921875,0.22001351416110992,-0.06628094613552094,0.7699999809265137,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1463.5,608.5,827.5,11324.873046875,10712.3623046875,10551.6123046875,11244.625,17657.984375,19873.3125,16569.33984375,10763.39453125,5056.263671875,32044.0703125,0.22196324169635773,-0.05888558179140091,0.7683332562446594,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,709.8055419921875,380.1111145019531,475.8055419921875,11316.9296875,10702.259765625,10547.48828125,11232.537109375,17628.96875,19788.396484375,16496.134765625,10753.7724609375,5056.41845703125,32050.13671875,0.22167935967445374,-0.0575484037399292,0.8098999857902527,0.88,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,587.7100219726562,315.489990234375,403.8800048828125,4.0,0
107,26,11464.5498046875,10902.150390625,10823.0498046875,11699.599609375,18014.05078125,20770.05078125,17513.25,11072.2998046875,5058.10009765625,32013.650390625,0.2125101089477539,-0.07106004655361176,0.8799999952316284,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,702.25,269.5,282.5,11334.388671875,10738.75,10587.359375,11299.875,17574.6796875,19963.96875,16630.119140625,10775.9453125,5056.556640625,32034.666015625,0.21737432479858398,-0.06353268027305603,0.93666672706604,0.8888888888888888,22.22222137451172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,598.0555419921875,420.8333435058594,467.5833435058594,11315.599609375,10713.6171875,10578.669921875,11322.9765625,17496.8046875,19960.095703125,16704.255859375,10808.9462890625,5056.626953125,32087.205078125,0.2142447829246521,-0.06568051129579544,0.9819999933242798,0.92,20.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,553.3900146484375,315.1400146484375,392.0299987792969,8.0,0
106,27,11239.0498046875,10622.2998046875,10372.849609375,10908.150390625,17468.05078125,19044.099609375,15609.150390625,10542.0498046875,5055.39990234375,31957.849609375,0.23117613792419434,-0.04316505417227745,0.7649999856948853,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,467.25,264.25,360.75,11334.607421875,10737.533203125,10581.4482421875,11295.0966796875,17670.826171875,19935.0390625,16707.7265625,10820.068359375,5056.67626953125,32043.5546875,0.2201620489358902,-0.06009025126695633,0.85999995470047,1.0,22.22222137451172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,450.4444580078125,398.5555419921875,496.22222900390625,11308.5,10702.9638671875,10562.12109375,11282.6328125,17563.384765625,19912.2265625,16661.66015625,10786.00390625,5056.18896484375,32098.283203125,0.2177170366048813,-0.06264273822307587,0.9359999895095825,0.88,20.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,554.6900024414062,322.4700012207031,402.05999755859375,7.0,0
107,27,11440.8125,10890.9375,10676.5625,11358.8125,17743.25,20128.375,16932.8125,10860.6875,5056.4375,31979.75,0.2193809300661087,-0.06297920644283295,1.0499999523162842,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,240.0,707.25,711.75,11324.8818359375,10727.771484375,10552.4091796875,11236.3046875,17480.408203125,19822.94140625,16591.8984375,10764.1572265625,5056.576171875,32073.91015625,0.2174476981163025,-0.06271073967218399,1.0499999523162842,0.7777777777777778,33.33333206176758,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,495.8888854980469,352.72222900390625,408.27777099609375,11301.173828125,10697.947265625,10568.3154296875,11317.919921875,17474.828125,19961.220703125,16728.681640625,10791.2373046875,5056.28271484375,32126.810546875,0.2138345092535019,-0.06637345999479294,1.0499999523162842,0.88,24.0,0.0,0.0,0.08,0.04,0.0,0.0,0.0,0.0,0.88,0.0,0.0,0.0,0.0,524.02001953125,317.6000061035156,399.1600036621094,4.0,0
99,28,11225.875,10564.1875,10303.9375,10719.8125,17621.4375,18682.375,15284.875,10320.375,5055.0,31810.6875,0.24351872503757477,-0.029223859310150146,0.7149999737739563,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403.75,324.0,304.0,11315.82421875,10689.3056640625,10496.798828125,11044.4697265625,17663.0546875,19301.3515625,16056.921875,10614.943359375,5055.138671875,31857.708984375,0.23068653047084808,-0.043931931257247925,0.7116666436195374,0.7777777777777778,33.33333206176758,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.0,0.0,0.0,0.0,405.97222900390625,221.97222900390625,279.6388854980469,11340.9912109375,10724.4912109375,10553.4052734375,11176.38671875,17619.33984375,19515.595703125,16364.763671875,10694.9765625,5054.0478515625,31931.35546875,0.2239048182964325,-0.050636548548936844,0.7089999914169312,0.68,25.6568546295166,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.0,0.0,422.79998779296875,190.22999572753906,260.1499938964844,5.0,0
100,28,11171.900390625,10494.2998046875,10169.5498046875,10513.349609375,17212.349609375,18241.650390625,14988.349609375,10207.7001953125,5051.9501953125,31840.05078125,0.24161699414253235,-0.029032006859779358,0.7799999713897705,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1082.25,301.25,358.5,11285.34765625,10650.94140625,10419.5927734375,10935.60546875,17508.71484375,18929.767578125,15737.12109375,10540.45703125,5053.9931640625,31866.447265625,0.23121078312397003,-0.03865659981966019,0.7549998760223389,0.8888888888888888,11.11111068725586,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,447.52777099609375,265.9166564941406,348.3055419921875,11328.0546875,10703.9501953125,10505.1201171875,11090.4453125,17499.158203125,19313.42578125,16166.568359375,10652.26171875,5054.4736328125,31936.8203125,0.22421877086162567,-0.048971470445394516,0.7349998950958252,0.64,16.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,455.989990234375,214.6199951171875,299.69000244140625,5.0,0
